Unique_ID,Broad_Classification,SWAT_File,database_table,DATABASE_FIELD_NAME,SWAT_Header_Name,Text_File_Structure,Position_in_File,Line_in_file,Swat_code_type,SWAT_Code_Variable_Name,Description,Core,Units,Data_Type,Minimum_Range,Maximum_Range,Default_Value,Use_in_DB,Source_Module,Is_Local_Variable
126,SIMULATION,print.prt,print_prt,pco%sd_chan_bsn%y,pco%sd_chan_bsn%y,unique,4,23,derived_type,pco%sd_chan_bsn%y,pco%sd_chan_bsn%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
127,SIMULATION,print.prt,print_prt,pco%sd_chan_bsn%a,pco%sd_chan_bsn%a,unique,5,23,derived_type,pco%sd_chan_bsn%a,pco%sd_chan_bsn%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
128,SIMULATION,print.prt,print_prt,name,name,unique,1,25,character,name,name parameter from in_sim%prt via basin_print_codes_read,yes,text,string,0,999,default,yes,basin_module,y
129,SIMULATION,print.prt,print_prt,pco%recall_bsn%d,pco%recall_bsn%d,unique,2,25,derived_type,pco%recall_bsn%d,pco%recall_bsn%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
130,SIMULATION,print.prt,print_prt,pco%recall_bsn%m,pco%recall_bsn%m,unique,3,25,derived_type,pco%recall_bsn%m,pco%recall_bsn%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
131,SIMULATION,print.prt,print_prt,pco%recall_bsn%y,pco%recall_bsn%y,unique,4,25,derived_type,pco%recall_bsn%y,pco%recall_bsn%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
132,SIMULATION,print.prt,print_prt,pco%recall_bsn%a,pco%recall_bsn%a,unique,5,25,derived_type,pco%recall_bsn%a,pco%recall_bsn%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
133,SIMULATION,print.prt,print_prt,name,name,unique,1,27,character,name,name parameter from in_sim%prt via basin_print_codes_read,yes,text,string,0,999,default,yes,basin_module,y
134,SIMULATION,print.prt,print_prt,pco%wb_reg%d,pco%wb_reg%d,unique,2,27,derived_type,pco%wb_reg%d,pco%wb_reg%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
135,SIMULATION,print.prt,print_prt,pco%wb_reg%m,pco%wb_reg%m,unique,3,27,derived_type,pco%wb_reg%m,pco%wb_reg%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
