Unique_ID,Broad_Classification,SWAT_File,database_table,DATABASE_FIELD_NAME,SWAT_Header_Name,Text_File_Structure,Position_in_File,Line_in_file,Swat_code_type,SWAT_Code_Variable_Name,Description,Core,Units,Data_Type,Minimum_Range,Maximum_Range,Default_Value,Use_in_DB
91,SIMULATION,print.prt,print_prt,pco%wb_reg%y,pco%wb_reg%y,unique,4,15,derived_type,pco%wb_reg%y,pco%wb_reg%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
92,SIMULATION,print.prt,print_prt,pco%wb_reg%a,pco%wb_reg%a,unique,5,15,derived_type,pco%wb_reg%a,pco%wb_reg%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
93,SIMULATION,print.prt,print_prt,pco%nb_reg%d,pco%nb_reg%d,unique,2,16,derived_type,pco%nb_reg%d,pco%nb_reg%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
94,SIMULATION,print.prt,print_prt,pco%nb_reg%m,pco%nb_reg%m,unique,3,16,derived_type,pco%nb_reg%m,pco%nb_reg%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
95,SIMULATION,print.prt,print_prt,pco%nb_reg%y,pco%nb_reg%y,unique,4,16,derived_type,pco%nb_reg%y,pco%nb_reg%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
96,SIMULATION,print.prt,print_prt,pco%nb_reg%a,pco%nb_reg%a,unique,5,16,derived_type,pco%nb_reg%a,pco%nb_reg%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
97,SIMULATION,print.prt,print_prt,pco%ls_reg%d,pco%ls_reg%d,unique,2,17,derived_type,pco%ls_reg%d,pco%ls_reg%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
98,SIMULATION,print.prt,print_prt,pco%ls_reg%m,pco%ls_reg%m,unique,3,17,derived_type,pco%ls_reg%m,pco%ls_reg%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
99,SIMULATION,print.prt,print_prt,pco%ls_reg%y,pco%ls_reg%y,unique,4,17,derived_type,pco%ls_reg%y,pco%ls_reg%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
100,SIMULATION,print.prt,print_prt,pco%ls_reg%a,pco%ls_reg%a,unique,5,17,derived_type,pco%ls_reg%a,pco%ls_reg%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
101,SIMULATION,print.prt,print_prt,pco%pw_reg%d,pco%pw_reg%d,unique,2,18,derived_type,pco%pw_reg%d,pco%pw_reg%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
102,SIMULATION,print.prt,print_prt,pco%pw_reg%m,pco%pw_reg%m,unique,3,18,derived_type,pco%pw_reg%m,pco%pw_reg%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
