input_file,line_in_file,position_in_file,component,old_row,new_row
plants.plt,4,27,wsyf,{},"{'Line in File': '4', 'Position in File': '27', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'wsyf', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,28,usle_c,{},"{'Line in File': '4', 'Position in File': '28', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'usle_c', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,29,gsi,{},"{'Line in File': '4', 'Position in File': '29', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'gsi', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,3,trig,{},"{'Line in File': '4', 'Position in File': '3', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'trig', 'Type': 'character(len=18)', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,30,vpdfr,{},"{'Line in File': '4', 'Position in File': '30', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'vpdfr', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,31,gmaxfr,{},"{'Line in File': '4', 'Position in File': '31', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'gmaxfr', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,32,wavp,{},"{'Line in File': '4', 'Position in File': '32', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'wavp', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,33,co2hi,{},"{'Line in File': '4', 'Position in File': '33', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'co2hi', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,34,bioehi,{},"{'Line in File': '4', 'Position in File': '34', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'bioehi', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,35,rsdco_pl,{},"{'Line in File': '4', 'Position in File': '35', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'rsdco_pl', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,36,alai_min,{},"{'Line in File': '4', 'Position in File': '36', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'alai_min', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,37,laixco_tree,{},"{'Line in File': '4', 'Position in File': '37', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'laixco_tree', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,38,mat_yrs,{},"{'Line in File': '4', 'Position in File': '38', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'mat_yrs', 'Type': 'integer', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,39,bmx_peren,{},"{'Line in File': '4', 'Position in File': '39', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'bmx_peren', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,4,nfix_co,{},"{'Line in File': '4', 'Position in File': '4', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'nfix_co', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,40,ext_coef,{},"{'Line in File': '4', 'Position in File': '40', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'ext_coef', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,41,leaf_tov_min,{},"{'Line in File': '4', 'Position in File': '41', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'leaf_tov_min', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,42,leaf_tov_max,{},"{'Line in File': '4', 'Position in File': '42', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'leaf_tov_max', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,43,bm_dieoff,{},"{'Line in File': '4', 'Position in File': '43', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'bm_dieoff', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,44,rsr1,{},"{'Line in File': '4', 'Position in File': '44', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'rsr1', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,45,rsr2,{},"{'Line in File': '4', 'Position in File': '45', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'rsr2', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,46,pop1,{},"{'Line in File': '4', 'Position in File': '46', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'pop1', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,47,frlai1,{},"{'Line in File': '4', 'Position in File': '47', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'frlai1', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,48,pop2,{},"{'Line in File': '4', 'Position in File': '48', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'pop2', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,49,frlai2,{},"{'Line in File': '4', 'Position in File': '49', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'frlai2', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,5,days_mat,{},"{'Line in File': '4', 'Position in File': '5', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'days_mat', 'Type': 'integer', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,50,frsw_gro,{},"{'Line in File': '4', 'Position in File': '50', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'frsw_gro', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,51,aeration,{},"{'Line in File': '4', 'Position in File': '51', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'aeration', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,52,rsd_pctcov,{},"{'Line in File': '4', 'Position in File': '52', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'rsd_pctcov', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,53,rsd_covfac,{},"{'Line in File': '4', 'Position in File': '53', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'rsd_covfac', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,54,meta_frac,{},"{'Line in File': '4', 'Position in File': '54', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'res_part_fracs', 'Component': 'meta_frac', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,55,str_frac,{},"{'Line in File': '4', 'Position in File': '55', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'res_part_fracs', 'Component': 'str_frac', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,56,lig_frac,{},"{'Line in File': '4', 'Position in File': '56', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'res_part_fracs', 'Component': 'lig_frac', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,57,pl_class(ic),{},"{'Line in File': '4', 'Position in File': '57', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': '-', 'Component': 'pl_class(ic)', 'Type': 'character(len=25)', 'Dimensions': 'allocatable', 'Swat_codetype': 'in_parmdb'}"
