Unique_ID,Broad_Classification,SWAT_File,database_table,DATABASE_FIELD_NAME,SWAT_Header_Name,Text_File_Structure,Position_in_File,Line_in_file,Swat_code_type,SWAT_Code_Variable_Name,Description,Core,Units,Data_Type,Minimum_Range,Maximum_Range,Default_Value,Use_in_DB
139,CLIMATE,weather-wgn.cli,weather_wgn,istep,istep,delimited,15,15,weather_wgn,istep,istep parameter from weather-wgn.cli via cli_tmeas,no,none,string,0,999,default,yes
140,CLIMATE,weather-wgn.cli,weather_wgn,tmp%ts,tmp%ts,delimited,16,16,weather_wgn,"tmp(i)%ts(istep,iyrs)",tmp%ts parameter from weather-wgn.cli via cli_tmeas,no,degC,real,0,999,0,yes
141,CLIMATE,weather-wgn.cli,weather_wgn,tmp%ts2,tmp%ts2,delimited,17,17,weather_wgn,"tmp(i)%ts2(istep,iyrs)",tmp%ts2 parameter from weather-wgn.cli via cli_tmeas,no,degC,real,0,999,0,yes
142,CLIMATE,weather-wgn.cli,weather_wgn,tmp_n,tmp_n,delimited,18,18,weather_wgn,tmp_n(i),tmp_n parameter from weather-wgn.cli via cli_tmeas,no,degC,real,0,999,0,yes
143,CLIMATE,weather-wgn.cli,weather_wgn,tmp%filename,tmp%filename,delimited,19,19,weather_wgn,tmp(i)%filename,tmp%filename parameter from weather-wgn.cli via cli_tmeas,no,m,real,0,999,0,yes
144,CLIMATE,weather-wgn.cli,weather_wgn,pcp%nbyr,pcp%nbyr,delimited,20,20,weather_wgn,pcp(i)%nbyr,pcp%nbyr parameter from weather-wgn.cli via cli_pmeas,no,mm,integer,1,9999,1,yes
145,CLIMATE,weather-wgn.cli,weather_wgn,pcp%tstep,pcp%tstep,delimited,21,21,weather_wgn,pcp(i)%tstep,pcp%tstep parameter from weather-wgn.cli via cli_pmeas,no,mm,integer,1,9999,1,yes
146,CLIMATE,weather-wgn.cli,weather_wgn,pcp%lat,pcp%lat,delimited,22,22,weather_wgn,pcp(i)%lat,pcp%lat parameter from weather-wgn.cli via cli_pmeas,no,deg,real,0,999,0,yes
147,CLIMATE,weather-wgn.cli,weather_wgn,pcp%long,pcp%long,delimited,23,23,weather_wgn,pcp(i)%long,pcp%long parameter from weather-wgn.cli via cli_pmeas,no,deg,real,0,999,0,yes
148,CLIMATE,weather-wgn.cli,weather_wgn,pcp%elev,pcp%elev,delimited,24,24,weather_wgn,pcp(i)%elev,pcp%elev parameter from weather-wgn.cli via cli_pmeas,no,m,real,0,999,0,yes
149,CLIMATE,weather-wgn.cli,weather_wgn,iyr,iyr,delimited,25,25,weather_wgn,iyr,iyr parameter from weather-wgn.cli via cli_pmeas,no,none,integer,1,9999,1,yes
150,CLIMATE,weather-wgn.cli,weather_wgn,istep,istep,delimited,26,26,weather_wgn,istep,istep parameter from weather-wgn.cli via cli_pmeas,no,none,string,0,999,default,yes
151,CLIMATE,weather-wgn.cli,weather_wgn,iyr,iyr,delimited,27,27,weather_wgn,iyr,iyr parameter from weather-wgn.cli via cli_pmeas,no,none,integer,1,9999,1,yes
