input_file,line_in_file,position_in_file,component,old_row,new_row
atmodep.cli,2,1,header,"{'Line in File': '2', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'header', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}","{'Line in File': '2', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'header', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}"
atmodep.cli,3,2,timestep,"{'Line in File': '3', 'Position in File': '2', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'atmodep_cont', 'Component': 'timestep', 'Type': 'character(len=2)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'in_cli'}","{'Line in File': '3', 'Position in File': '2', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'atmodep_cont', 'Component': 'timestep', 'Type': 'character(len=2)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'in_cli'}"
atmodep.cli,4,1,name,"{'Line in File': '4', 'Position in File': '1', 'Condition': 'if (atmodep_cont%timestep == ""aa"")', 'Local (Y/N)': 'N', 'TYPE': 'atmodep', 'Component': 'name', 'Type': 'character(len=50)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'in_cli'}","{'Line in File': '4', 'Position in File': '1', 'Condition': 'if (atmodep_cont%timestep == ""aa"")', 'Local (Y/N)': 'N', 'TYPE': 'atmodep', 'Component': 'name', 'Type': 'character(len=50)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'in_cli'}"
atmodep.cli,9,1,name,"{'Line in File': '9', 'Position in File': '1', 'Condition': 'if (atmodep_cont%timestep == ""mo"")', 'Local (Y/N)': 'N', 'TYPE': 'atmodep', 'Component': 'name', 'Type': 'character(len=50)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'in_cli'}","{'Line in File': '9', 'Position in File': '1', 'Condition': 'if (atmodep_cont%timestep == ""mo"")', 'Local (Y/N)': 'N', 'TYPE': 'atmodep', 'Component': 'name', 'Type': 'character(len=50)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'in_cli'}"
basins_carbon.tes,1,1,titldum,"{'Line in File': '1', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'titldum', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}","{'Line in File': '1', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'titldum', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}"
basins_carbon.tes,2,1,header,"{'Line in File': '2', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'header', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}","{'Line in File': '2', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'header', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}"
basins_carbon.tes,3,1,cbn_tes,"{'Line in File': '3', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': '-', 'Component': 'cbn_tes', 'Type': 'unknown', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}",
basins_carbon.tes,3,1,er_POC_para,,"{'Line in File': '3', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'er_POC_para', 'Type': 'real', 'Dimensions': '-', 'Default': '1.5', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,10,ABCO2_para_sur,,"{'Line in File': '3', 'Position in File': '10', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'ABCO2_para_sur', 'Type': 'real', 'Dimensions': '-', 'Default': '0.6', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,11,ABCO2_para_sub,,"{'Line in File': '3', 'Position in File': '11', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'ABCO2_para_sub', 'Type': 'real', 'Dimensions': '-', 'Default': '0.', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,12,ABP_para_sur,,"{'Line in File': '3', 'Position in File': '12', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'ABP_para_sur', 'Type': 'real', 'Dimensions': '-', 'Default': '0.0', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,13,ABP_para_sub,,"{'Line in File': '3', 'Position in File': '13', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'ABP_para_sub', 'Type': 'real', 'Dimensions': '-', 'Default': '0.0', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,14,ALMCO2_para_sur,,"{'Line in File': '3', 'Position in File': '14', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'ALMCO2_para_sur', 'Type': 'real', 'Dimensions': '-', 'Default': '0.6', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,15,ALMCO2_para_sub,,"{'Line in File': '3', 'Position in File': '15', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'ALMCO2_para_sub', 'Type': 'real', 'Dimensions': '-', 'Default': '0.55', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
