Swat_code_type,Parameter_Count,Primary_Classification,Data_Types
res_read_csdb,4,RESERVOIR,real
plant_transplant_read,4,PLANT,real
res_read_hyd,4,RESERVOIR,real
res_read_nut,4,RESERVOIR,real
res_read_sed,4,RESERVOIR,real
res_read_weir,4,RESERVOIR,real
cs_fert_read,4,GENERAL,real
ero_eiusle,4,GENERAL,real
scen_read_bmpuser,4,GENERAL,real
salt_uptake_read,4,GENERAL,"string, real, integer"
rte_read_nut,4,GENERAL,real
fert_parm_read,4,GENERAL,real
salt_fert_read,4,GENERAL,real
field_read,4,GENERAL,real
soil_lte_db_read,4,SOIL,real
carbon_read,4,GENERAL,"real, string"
cs_uptake_read,4,GENERAL,"string, real, integer"
ero_pkq,4,GENERAL,real
septic_parm_read,4,GENERAL,real
snowdb_read,4,GENERAL,real
sdr_read,4,GENERAL,real
sep_read,4,GENERAL,real
MgCO3,3,GENERAL,real
MgSO4,3,GENERAL,real
NaCl,3,GENERAL,real
activity_coefficient,3,GENERAL,real
sd_rating_curve,3,GENERAL,real
wet_fp_init,3,WETLAND,real
soil_awc_init,3,SOIL,real
salt_fert_wet,3,GENERAL,real
rls_routesoil,3,GENERAL,real
rls_routetile,3,GENERAL,real
soil_phys_init,3,SOIL,real
pest_soil_tot,3,PESTICIDE,real
plantparm_init,3,GENERAL,real
recall_nut,3,GENERAL,real
rcurv_interp_flo,3,GENERAL,real
rcurv_interp_dep,3,GENERAL,real
mgt_tillfactor,3,MANAGEMENT,real
sq_crackvol,3,GENERAL,real
basin_read_prm,3,BASIN,real
caps,3,GENERAL,"string, real"
CaCO3,3,GENERAL,real
CaSO4,3,GENERAL,real
ttcoef_wway,3,GENERAL,real
basin_read_cc,3,BASIN,real
ch_read_temp,3,GENERAL,real
calsoft_read_codes,3,GENERAL,real
cli_pgenhr,3,CLIMATE,real
ch_initial,3,GENERAL,real
ch_ttcoef,3,GENERAL,real
cs_fert_wet,3,GENERAL,real
cs_fert,3,GENERAL,real
header_lu_change,3,GENERAL,"string, real"
unit_hyd,2,GENERAL,real
calhard_control,2,GENERAL,real
calsoft_plant_zero,2,GENERAL,real
cond_real,2,GENERAL,real
swr_origtile,2,GENERAL,real
flow_hyd_ru_hru,2,GENERAL,real
hru_sweep,2,HRU,real
nut_denit,2,NUTRIENT,real
sq_snom,2,GENERAL,real
sq_crackflow,2,GENERAL,real
res_objects,2,RESERVOIR,real
smp_buffer,2,GENERAL,real
pl_fert_wet,2,GENERAL,real
soil_text_init,2,SOIL,real
define_unit_elements,2,GENERAL,integer
hru_lum_init_all,2,HRU,real
sq_volq,2,GENERAL,real
cond_integer,2,GENERAL,real
jdt,1,GENERAL,integer
icl,1,GENERAL,real
aqu_pest_output_init,1,AQUIFER,real
Ionic_Strength,1,GENERAL,real
search,1,GENERAL,real
ran1,1,GENERAL,real
chg_par,1,GENERAL,real
cn2_init_all,1,GENERAL,real
copy_file,1,GENERAL,real
ch_rchinit,1,GENERAL,real
atri,1,GENERAL,real
wind_ero_erod,1,GENERAL,real
wq_k2m,1,GENERAL,real
xmon,1,GENERAL,real
